@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
61182758,5426737,5,20170815,21
59775813,5426737,4,20170425,21
69929795,5426737,4,20170221,21
5028582,5426737,3,20170901,21
51650674,5426737,4,20170804,21
85982192,5426737,5,20170615,21
87149719,5426737,5,20170605,21
86658600,5426737,5,20170201,21
67025169,5426737,5,20170124,21
91548578,5426737,4,20170118,21
37972963,5426737,5,20161110,21
45969171,5426737,3,20161022,21
1381100473,5426737,4,20161002,21
19087787,5426737,3,20160922,21
5338768,5426737,5,20160708,21
93474978,8473068,1,20161002,19
5334886,6588597,1,20170620,22
52268437,6588597,4,20161203,22
13002777,6588597,4,20141231,22
5060488,6588597,3,20140729,22
264031,6588597,5,20140306,22
81946264,882154,5,20140621,17
470344,882154,4,20140515,17
19660124,882154,4,20140513,17
49128303,882154,4,20140416,17
50863275,882154,5,20140410,17
948620,882154,4,20140408,17
41900929,882154,4,20140322,17
59380787,882154,4,20140322,17
63390766,882154,3,20140304,17
19731650,882154,2,20140216,17
71797120,882154,3,20140125,17
19191398,882154,3,20131228,17
34371327,882154,2,20131227,17
93814475,5438904,3,20170901,11
74267586,5438904,4,20170701,11
82717439,5438904,4,20170618,11
48433086,5438904,3,20170504,11
91727393,5438904,5,20170327,11
55412083,5438904,3,20161126,11
60049768,5438904,3,20161025,11
5486156,5438904,4,20160520,11
62525698,5438904,3,20160514,11
34865671,5438904,1,20160414,11
90460320,5438904,5,20160414,11
72954917,5438904,4,20160328,11
5575708,5438904,4,20160326,11
46758152,5438904,5,20160322,11
266064,5438904,3,20160317,11
85078690,10007,3,20170529,27
90401345,10007,3,20170807,27
31157787,10007,4,20170320,27
55947115,10007,4,20161018,27
31870162,10007,5,20161008,27
320111,10007,4,20160930,27
19441100,10007,4,20160808,27
77769807,10007,5,20160720,27
66058329,10007,5,20160526,27
84439111,10007,5,20160524,27
90460320,10007,5,20160401,27
90520219,10007,5,20160327,27
80048035,10007,5,20160317,27
17470407,10007,4,20151027,27
50127877,10007,3,20151120,27
10403306,7900619,5,20140526,19
42722877,7900619,5,20140522,19
82696130,7900619,3,20140427,19
47994669,7900619,3,20140424,19
82852360,7900619,3,20140418,19
51896978,7900619,4,20140417,19
82030363,7900619,5,20140415,19
69612300,7900619,5,20140415,19
30117631,7900619,5,20140414,19
75892404,7900619,5,20140406,19
64478730,7900619,3,20140328,19
51320133,7900619,4,20140324,19
66807807,7900619,5,20140318,19
176386,7900619,5,20140316,19
17217882,7900619,5,20140225,19
1087033,9033765,4,20160824,19
68397948,9033765,3,20160817,19
10569898,9033765,1,20160730,19
33122061,9033765,5,20160701,19
55066214,9033765,3,20160610,19
35996631,9033765,5,20160512,19
5131876,9033765,5,20160413,19
49232376,9033765,5,20160407,19
48242209,9033765,4,20160319,19
39942441,882154,5,20141224,19
2131530,882154,5,20141209,19
42768183,882154,3,20141105,19
19302912,882154,4,20140926,19
51990330,882154,4,20140926,19
158081,882154,3,20140920,19
59904862,882154,5,20140917,19
5384605,882154,4,20140908,19
71196672,882154,3,20140902,19
17229738,882154,3,20140828,19
17245887,882154,3,20140815,19
86718933,882154,1,20140808,19
17374199,882154,5,20140728,19
10240389,882154,3,20140726,19
17658201,882154,5,20140717,19
67535465,7900619,3,20140901,19
52576710,7900619,4,20140822,19
36281389,7900619,4,20140822,19
587403,7900619,3,20140818,19
17297059,7900619,5,20140812,19
90029721,7900619,5,20140804,19
83683458,7900619,5,20140731,19
939227,7900619,4,20140727,19
52666344,7900619,5,20140725,19
37076884,7900619,5,20140707,19
43069673,7900619,5,20140628,19
739287,7900619,2,20140625,19
48089716,7900619,4,20140616,19
19083211,7900619,3,20140609,19
35790884,7900619,4,20140527,19
927538,882154,3,20150809,19
49623999,882154,3,20150805,19
54483776,882154,3,20150729,19
36759789,882154,5,20150616,19
17224276,882154,4,20150609,19
90115323,882154,5,20150505,19
1385476500,882154,5,20150420,19
89815846,882154,3,20150406,19
58813115,882154,3,20150404,19
59356254,882154,4,20150310,19
710037,882154,5,20150302,19
31984744,882154,3,20150224,19
42106862,882154,4,20150206,19
553001,882154,4,20150114,19
364868,882154,3,20150106,19
85346623,9033765,1,20170805,19
63945255,9033765,1,20170804,19
46134329,9033765,1,20170616,19
5260697,9033765,4,20170302,19
5517678,9033765,5,20170901,19
85554465,9033765,4,20170813,19
5148322,9033765,1,20170805,19
5606415,9033765,5,20170731,19
88653982,9033765,1,20170629,19
75427849,9033765,4,20170125,19
37730719,9033765,1,20170115,19
33410508,9033765,5,20161223,19
63221833,9033765,1,20161007,19
64665009,9033765,5,20160911,19
93126362,9033765,3,20160828,19
17089746,5438654,5,20140304,18
30090484,7925427,3,20160427,6
40884383,7925427,3,20150929,6
68226330,7925427,3,20150921,6
62632430,7925427,3,20150822,6
48262917,7925427,3,20150810,6
75063435,7925427,3,20150507,6
57816645,7925427,5,20140831,6
19338802,7925427,3,20140822,6
87269511,7900619,4,20150525,6
86921328,7900619,3,20150316,6
35758270,7900619,5,20150210,6
83084459,7900619,4,20150206,6
43974402,7900619,5,20150119,6
66944167,7900619,5,20150118,6
50257914,7900619,4,20141229,6
89513539,7900619,5,20141224,6
82680859,7900619,5,20141201,6
82034884,7900619,5,20141130,6
60398453,7900619,5,20141125,6
65035792,7900619,5,20141109,6
36663779,7900619,4,20141031,6
71722033,7900619,5,20141024,6
39164466,7900619,4,20140925,6
66716514,882154,2,20151105,6
66441144,882154,3,20151028,6
91461705,882154,5,20151022,6
17459344,882154,5,20151016,6
72261354,882154,5,20151015,6
59682099,882154,4,20150929,6
17460966,882154,4,20150922,6
57727670,882154,4,20150913,6
64005679,882154,3,20150829,6
5556565,882154,5,20150827,6
39845602,882154,3,20150826,6
55202325,882154,5,20150822,6
84365595,882154,5,20150821,6
43992553,882154,3,20150817,6
74308733,882154,5,20150812,6
64557049,7900619,4,20150906,6
32027439,7900619,3,20150902,6
90475469,7900619,4,20150828,6
70185211,7900619,5,20150826,6
78539843,7900619,4,20150819,6
58181166,7900619,3,20150813,6
13002777,7900619,4,20150811,6
5128290,7900619,5,20150809,6
87842863,7900619,3,20150808,6
44964196,7900619,4,20150725,6
48422064,7900619,4,20150713,6
71983294,7900619,4,20150711,6
5148411,7900619,4,20150617,6
532842,7900619,5,20150612,6
39377816,7900619,3,20150605,6
94059532,5438654,5,20170615,6
89811568,5438654,4,20160907,6
70833090,5438654,5,20160522,6
92056148,5438654,5,20160411,6
266064,5438654,3,20160304,6
646104,5438654,4,20151217,6
73910484,5438654,5,20150819,6
50891966,5438654,4,20150604,6
89327496,5438654,4,20150528,6
19055882,5438654,4,20140903,6
277422,5438654,4,20140614,6
41039044,5438654,5,20140612,6
16005983,5438654,5,20140507,6
42194661,5438654,5,20140502,6
44346443,5438654,5,20140410,6
60108329,882154,1,20160503,6
92998014,882154,2,20160427,6
247109,882154,5,20160421,6
31742939,882154,5,20160420,6
82451346,882154,4,20160414,6
70992406,882154,5,20160404,6
266064,882154,3,20160322,6
50891966,882154,4,20160319,6
70035012,882154,4,20160310,6
92934694,882154,4,20160310,6
68938784,882154,3,20160217,6
17236981,882154,4,20160216,6
51719256,882154,5,20150630,6
41011267,882154,5,20151219,6
59758796,882154,3,20151127,6
19184685,5429548,5,20140518,18
16005983,5429548,5,20140507,18
39162470,5429548,4,20131204,18
61596267,5429548,3,20131201,18
39898072,5429548,2,20131129,18
30740216,5429548,4,20131128,18
17483146,5429548,5,20131112,18
79740933,5429548,4,20131019,18
19673110,5429548,3,20131018,18
61606777,5429548,2,20131017,18
19513229,5429548,4,20131015,18
180497,7900619,4,20151117,18
70099074,7900619,5,20151030,18
49913469,7900619,3,20151028,18
17534632,7900619,3,20151026,18
66507763,7900619,4,20151020,18
646104,7900619,5,20151016,18
60668533,7900619,4,20151016,18
48696480,7900619,3,20151001,18
38057506,7900619,5,20150930,18
74667840,7900619,4,20150925,18
85737125,7900619,3,20150921,18
52565054,7900619,5,20150917,18
19203253,7900619,5,20150910,18
69938340,7900619,4,20150910,18
34776074,7900619,5,20150910,18
93201491,882154,3,20170908,18
32220572,882154,4,20170916,18
93814475,882154,3,20170904,18
47918577,882154,3,20170818,18
75780321,882154,3,20170621,18
69873476,882154,4,20170301,18
38366609,882154,3,20170130,18
82774539,882154,4,20161109,18
19702329,882154,3,20160815,18
65324505,882154,4,20160807,18
50874310,882154,3,20160729,18
