@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
61182758,5426737,5,20170815,13
59775813,5426737,4,20170425,13
69929795,5426737,4,20170221,13
5028582,5426737,3,20170901,13
51650674,5426737,4,20170804,13
85982192,5426737,5,20170615,13
87149719,5426737,5,20170605,13
86658600,5426737,5,20170201,13
67025169,5426737,5,20170124,13
91548578,5426737,4,20170118,13
37972963,5426737,5,20161110,13
45969171,5426737,3,20161022,13
1381100473,5426737,4,20161002,13
19087787,5426737,3,20160922,13
5338768,5426737,5,20160708,13
93474978,8473068,1,20161002,11
5334886,6588597,1,20170620,13
52268437,6588597,4,20161203,13
13002777,6588597,4,20141231,13
5060488,6588597,3,20140729,13
264031,6588597,5,20140306,13
81946264,882154,5,20140621,10
470344,882154,4,20140515,10
19660124,882154,4,20140513,10
49128303,882154,4,20140416,10
50863275,882154,5,20140410,10
948620,882154,4,20140408,10
41900929,882154,4,20140322,10
59380787,882154,4,20140322,10
63390766,882154,3,20140304,10
19731650,882154,2,20140216,10
71797120,882154,3,20140125,10
19191398,882154,3,20131228,10
34371327,882154,2,20131227,10
93814475,5438904,3,20170901,5
74267586,5438904,4,20170701,5
82717439,5438904,4,20170618,5
48433086,5438904,3,20170504,5
91727393,5438904,5,20170327,5
55412083,5438904,3,20161126,5
60049768,5438904,3,20161025,5
5486156,5438904,4,20160520,5
62525698,5438904,3,20160514,5
34865671,5438904,1,20160414,5
90460320,5438904,5,20160414,5
72954917,5438904,4,20160328,5
5575708,5438904,4,20160326,5
46758152,5438904,5,20160322,5
266064,5438904,3,20160317,5
85078690,10007,3,20170529,18
90401345,10007,3,20170807,18
31157787,10007,4,20170320,18
55947115,10007,4,20161018,18
31870162,10007,5,20161008,18
320111,10007,4,20160930,18
19441100,10007,4,20160808,18
77769807,10007,5,20160720,18
66058329,10007,5,20160526,18
84439111,10007,5,20160524,18
90460320,10007,5,20160401,18
90520219,10007,5,20160327,18
80048035,10007,5,20160317,18
17470407,10007,4,20151027,18
50127877,10007,3,20151120,18
10403306,7900619,5,20140526,11
42722877,7900619,5,20140522,11
82696130,7900619,3,20140427,11
47994669,7900619,3,20140424,11
82852360,7900619,3,20140418,11
51896978,7900619,4,20140417,11
82030363,7900619,5,20140415,11
69612300,7900619,5,20140415,11
30117631,7900619,5,20140414,11
75892404,7900619,5,20140406,11
64478730,7900619,3,20140328,11
51320133,7900619,4,20140324,11
66807807,7900619,5,20140318,11
176386,7900619,5,20140316,11
17217882,7900619,5,20140225,11
1087033,9033765,4,20160824,11
68397948,9033765,3,20160817,11
10569898,9033765,1,20160730,11
33122061,9033765,5,20160701,11
55066214,9033765,3,20160610,11
35996631,9033765,5,20160512,11
5131876,9033765,5,20160413,11
49232376,9033765,5,20160407,11
48242209,9033765,4,20160319,11
39942441,882154,5,20141224,11
2131530,882154,5,20141209,11
42768183,882154,3,20141105,11
19302912,882154,4,20140926,11
51990330,882154,4,20140926,11
158081,882154,3,20140920,11
59904862,882154,5,20140917,11
5384605,882154,4,20140908,11
71196672,882154,3,20140902,11
17229738,882154,3,20140828,11
17245887,882154,3,20140815,11
86718933,882154,1,20140808,11
17374199,882154,5,20140728,11
10240389,882154,3,20140726,11
17658201,882154,5,20140717,11
67535465,7900619,3,20140901,11
52576710,7900619,4,20140822,11
36281389,7900619,4,20140822,11
587403,7900619,3,20140818,11
17297059,7900619,5,20140812,11
90029721,7900619,5,20140804,11
83683458,7900619,5,20140731,11
939227,7900619,4,20140727,11
52666344,7900619,5,20140725,11
37076884,7900619,5,20140707,11
43069673,7900619,5,20140628,11
739287,7900619,2,20140625,11
48089716,7900619,4,20140616,11
19083211,7900619,3,20140609,11
35790884,7900619,4,20140527,11
927538,882154,3,20150809,11
49623999,882154,3,20150805,11
54483776,882154,3,20150729,11
36759789,882154,5,20150616,11
17224276,882154,4,20150609,11
90115323,882154,5,20150505,11
1385476500,882154,5,20150420,11
89815846,882154,3,20150406,11
58813115,882154,3,20150404,11
59356254,882154,4,20150310,11
710037,882154,5,20150302,11
31984744,882154,3,20150224,11
42106862,882154,4,20150206,11
553001,882154,4,20150114,11
364868,882154,3,20150106,11
85346623,9033765,1,20170805,11
63945255,9033765,1,20170804,11
46134329,9033765,1,20170616,11
5260697,9033765,4,20170302,11
5517678,9033765,5,20170901,11
85554465,9033765,4,20170813,11
5148322,9033765,1,20170805,11
5606415,9033765,5,20170731,11
88653982,9033765,1,20170629,11
75427849,9033765,4,20170125,11
37730719,9033765,1,20170115,11
33410508,9033765,5,20161223,11
63221833,9033765,1,20161007,11
64665009,9033765,5,20160911,11
93126362,9033765,3,20160828,11
17089746,5438654,5,20140304,10
