@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
61182758,5426737,5,20170815,200
59775813,5426737,4,20170425,200
69929795,5426737,4,20170221,200
5028582,5426737,3,20170901,200
51650674,5426737,4,20170804,200
85982192,5426737,5,20170615,200
87149719,5426737,5,20170605,200
86658600,5426737,5,20170201,200
67025169,5426737,5,20170124,200
91548578,5426737,4,20170118,200
37972963,5426737,5,20161110,200
45969171,5426737,3,20161022,200
1381100473,5426737,4,20161002,200
19087787,5426737,3,20160922,200
5338768,5426737,5,20160708,200
93474978,8473068,1,20161002,162
5334886,6588597,1,20170620,186
52268437,6588597,4,20161203,186
13002777,6588597,4,20141231,186
5060488,6588597,3,20140729,186
264031,6588597,5,20140306,186
81946264,882154,5,20140621,158
470344,882154,4,20140515,158
19660124,882154,4,20140513,158
49128303,882154,4,20140416,158
50863275,882154,5,20140410,158
948620,882154,4,20140408,158
41900929,882154,4,20140322,158
59380787,882154,4,20140322,158
63390766,882154,3,20140304,158
19731650,882154,2,20140216,158
71797120,882154,3,20140125,158
19191398,882154,3,20131228,158
34371327,882154,2,20131227,158
93814475,5438904,3,20170901,109
74267586,5438904,4,20170701,109
82717439,5438904,4,20170618,109
48433086,5438904,3,20170504,109
91727393,5438904,5,20170327,109
55412083,5438904,3,20161126,109
60049768,5438904,3,20161025,109
5486156,5438904,4,20160520,109
62525698,5438904,3,20160514,109
34865671,5438904,1,20160414,109
90460320,5438904,5,20160414,109
72954917,5438904,4,20160328,109
5575708,5438904,4,20160326,109
46758152,5438904,5,20160322,109
266064,5438904,3,20160317,109
85078690,10007,3,20170529,248
90401345,10007,3,20170807,248
31157787,10007,4,20170320,248
55947115,10007,4,20161018,248
31870162,10007,5,20161008,248
320111,10007,4,20160930,248
19441100,10007,4,20160808,248
77769807,10007,5,20160720,248
66058329,10007,5,20160526,248
84439111,10007,5,20160524,248
90460320,10007,5,20160401,248
90520219,10007,5,20160327,248
80048035,10007,5,20160317,248
17470407,10007,4,20151027,248
50127877,10007,3,20151120,248
10403306,7900619,5,20140526,162
42722877,7900619,5,20140522,162
82696130,7900619,3,20140427,162
47994669,7900619,3,20140424,162
82852360,7900619,3,20140418,162
51896978,7900619,4,20140417,162
82030363,7900619,5,20140415,162
69612300,7900619,5,20140415,162
30117631,7900619,5,20140414,162
75892404,7900619,5,20140406,162
64478730,7900619,3,20140328,162
51320133,7900619,4,20140324,162
66807807,7900619,5,20140318,162
176386,7900619,5,20140316,162
17217882,7900619,5,20140225,162
1087033,9033765,4,20160824,162
68397948,9033765,3,20160817,162
10569898,9033765,1,20160730,162
33122061,9033765,5,20160701,162
55066214,9033765,3,20160610,162
35996631,9033765,5,20160512,162
5131876,9033765,5,20160413,162
49232376,9033765,5,20160407,162
48242209,9033765,4,20160319,162
39942441,882154,5,20141224,162
2131530,882154,5,20141209,162
42768183,882154,3,20141105,162
19302912,882154,4,20140926,162
51990330,882154,4,20140926,162
158081,882154,3,20140920,162
59904862,882154,5,20140917,162
5384605,882154,4,20140908,162
71196672,882154,3,20140902,162
17229738,882154,3,20140828,162
17245887,882154,3,20140815,162
86718933,882154,1,20140808,162
17374199,882154,5,20140728,162
10240389,882154,3,20140726,162
17658201,882154,5,20140717,162
67535465,7900619,3,20140901,162
52576710,7900619,4,20140822,162
36281389,7900619,4,20140822,162
587403,7900619,3,20140818,162
17297059,7900619,5,20140812,162
90029721,7900619,5,20140804,162
83683458,7900619,5,20140731,162
939227,7900619,4,20140727,162
52666344,7900619,5,20140725,162
37076884,7900619,5,20140707,162
43069673,7900619,5,20140628,162
739287,7900619,2,20140625,162
48089716,7900619,4,20140616,162
19083211,7900619,3,20140609,162
35790884,7900619,4,20140527,162
927538,882154,3,20150809,162
49623999,882154,3,20150805,162
54483776,882154,3,20150729,162
36759789,882154,5,20150616,162
17224276,882154,4,20150609,162
90115323,882154,5,20150505,162
1385476500,882154,5,20150420,162
89815846,882154,3,20150406,162
58813115,882154,3,20150404,162
59356254,882154,4,20150310,162
710037,882154,5,20150302,162
31984744,882154,3,20150224,162
42106862,882154,4,20150206,162
553001,882154,4,20150114,162
364868,882154,3,20150106,162
85346623,9033765,1,20170805,162
63945255,9033765,1,20170804,162
46134329,9033765,1,20170616,162
5260697,9033765,4,20170302,162
5517678,9033765,5,20170901,162
85554465,9033765,4,20170813,162
5148322,9033765,1,20170805,162
5606415,9033765,5,20170731,162
88653982,9033765,1,20170629,162
75427849,9033765,4,20170125,162
37730719,9033765,1,20170115,162
33410508,9033765,5,20161223,162
63221833,9033765,1,20161007,162
64665009,9033765,5,20160911,162
93126362,9033765,3,20160828,162
17089746,5438654,5,20140304,175
30090484,7925427,3,20160427,64
40884383,7925427,3,20150929,64
68226330,7925427,3,20150921,64
62632430,7925427,3,20150822,64
48262917,7925427,3,20150810,64
75063435,7925427,3,20150507,64
57816645,7925427,5,20140831,64
19338802,7925427,3,20140822,64
87269511,7900619,4,20150525,64
86921328,7900619,3,20150316,64
35758270,7900619,5,20150210,64
83084459,7900619,4,20150206,64
43974402,7900619,5,20150119,64
66944167,7900619,5,20150118,64
50257914,7900619,4,20141229,64
89513539,7900619,5,20141224,64
82680859,7900619,5,20141201,64
82034884,7900619,5,20141130,64
60398453,7900619,5,20141125,64
65035792,7900619,5,20141109,64
36663779,7900619,4,20141031,64
71722033,7900619,5,20141024,64
39164466,7900619,4,20140925,64
66716514,882154,2,20151105,64
66441144,882154,3,20151028,64
91461705,882154,5,20151022,64
17459344,882154,5,20151016,64
72261354,882154,5,20151015,64
59682099,882154,4,20150929,64
17460966,882154,4,20150922,64
57727670,882154,4,20150913,64
64005679,882154,3,20150829,64
5556565,882154,5,20150827,64
39845602,882154,3,20150826,64
55202325,882154,5,20150822,64
84365595,882154,5,20150821,64
43992553,882154,3,20150817,64
74308733,882154,5,20150812,64
64557049,7900619,4,20150906,64
32027439,7900619,3,20150902,64
90475469,7900619,4,20150828,64
70185211,7900619,5,20150826,64
78539843,7900619,4,20150819,64
58181166,7900619,3,20150813,64
13002777,7900619,4,20150811,64
5128290,7900619,5,20150809,64
87842863,7900619,3,20150808,64
44964196,7900619,4,20150725,64
48422064,7900619,4,20150713,64
71983294,7900619,4,20150711,64
5148411,7900619,4,20150617,64
532842,7900619,5,20150612,64
39377816,7900619,3,20150605,64
94059532,5438654,5,20170615,64
89811568,5438654,4,20160907,64
70833090,5438654,5,20160522,64
92056148,5438654,5,20160411,64
266064,5438654,3,20160304,64
646104,5438654,4,20151217,64
73910484,5438654,5,20150819,64
50891966,5438654,4,20150604,64
89327496,5438654,4,20150528,64
19055882,5438654,4,20140903,64
277422,5438654,4,20140614,64
41039044,5438654,5,20140612,64
16005983,5438654,5,20140507,64
42194661,5438654,5,20140502,64
44346443,5438654,5,20140410,64
60108329,882154,1,20160503,64
92998014,882154,2,20160427,64
247109,882154,5,20160421,64
31742939,882154,5,20160420,64
82451346,882154,4,20160414,64
70992406,882154,5,20160404,64
266064,882154,3,20160322,64
50891966,882154,4,20160319,64
70035012,882154,4,20160310,64
92934694,882154,4,20160310,64
68938784,882154,3,20160217,64
17236981,882154,4,20160216,64
51719256,882154,5,20150630,64
41011267,882154,5,20151219,64
59758796,882154,3,20151127,64
19184685,5429548,5,20140518,160
16005983,5429548,5,20140507,160
39162470,5429548,4,20131204,160
61596267,5429548,3,20131201,160
39898072,5429548,2,20131129,160
30740216,5429548,4,20131128,160
17483146,5429548,5,20131112,160
79740933,5429548,4,20131019,160
19673110,5429548,3,20131018,160
61606777,5429548,2,20131017,160
19513229,5429548,4,20131015,160
180497,7900619,4,20151117,160
70099074,7900619,5,20151030,160
49913469,7900619,3,20151028,160
17534632,7900619,3,20151026,160
66507763,7900619,4,20151020,160
646104,7900619,5,20151016,160
60668533,7900619,4,20151016,160
48696480,7900619,3,20151001,160
38057506,7900619,5,20150930,160
74667840,7900619,4,20150925,160
85737125,7900619,3,20150921,160
52565054,7900619,5,20150917,160
19203253,7900619,5,20150910,160
69938340,7900619,4,20150910,160
34776074,7900619,5,20150910,160
93201491,882154,3,20170908,160
32220572,882154,4,20170916,160
93814475,882154,3,20170904,160
47918577,882154,3,20170818,160
75780321,882154,3,20170621,160
69873476,882154,4,20170301,160
38366609,882154,3,20170130,160
82774539,882154,4,20161109,160
19702329,882154,3,20160815,160
65324505,882154,4,20160807,160
50874310,882154,3,20160729,160
53271190,882154,1,20160728,160
93044542,882154,5,20160616,160
93102250,882154,3,20160517,160
82478566,882154,3,20160504,160
113215,5429548,4,20170510,160
58113986,5429548,4,20161103,160
19199774,5429548,4,20170703,160
717952,5429548,4,20170421,160
50572648,5429548,4,20170207,160
33824188,5429548,5,20170104,160
92341786,5429548,3,20161217,160
30423168,5429548,5,20160920,160
17611824,5429548,3,20160216,160
17336604,5429548,5,20150916,160
79983930,5429548,5,20150913,160
587403,5429548,5,20140816,160
17371764,5429548,4,20140614,160
41039044,5429548,5,20140612,160
19205406,5429548,4,20140522,160
91659947,7900619,3,20160101,160
57197974,7900619,4,20151118,160
51719256,7900619,5,20150630,160
93027865,7900619,1,20151230,160
92905541,7900619,3,20151218,160
899293,7900619,5,20151218,160
63128166,7900619,5,20151215,160
819105,7900619,3,20151215,160
10223480,7900619,3,20151215,160
17473712,7900619,3,20151212,160
91610079,7900619,3,20151209,160
51638113,7900619,4,20151206,160
46935126,7900619,5,20151204,160
59293123,7900619,4,20151203,160
34791560,7900619,2,20151120,160
50572648,5438625,5,20170207,160
347646,5438625,4,20160619,160
46924640,5438625,4,20160506,160
92724225,5438625,3,20151205,160
37950446,5438625,2,20151023,160
17179679,5438625,4,20151012,160
83644659,5439268,3,20131201,79
30165155,5439268,4,20131129,79
549940,5439268,5,20131125,79
19313695,5439268,4,20131120,79
66885918,5439268,5,20131114,79
51811822,5439268,4,20131108,79
77394413,5439268,4,20131103,79
19887561,5439268,4,20131022,79
263128,19235,4,20120220,156
184801,19235,5,20110815,156
138222,19235,5,20110506,156
