@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
61182758,5426737,5,20170815,7
59775813,5426737,4,20170425,7
69929795,5426737,4,20170221,7
5028582,5426737,3,20170901,7
51650674,5426737,4,20170804,7
85982192,5426737,5,20170615,7
87149719,5426737,5,20170605,7
86658600,5426737,5,20170201,7
67025169,5426737,5,20170124,7
91548578,5426737,4,20170118,7
37972963,5426737,5,20161110,7
45969171,5426737,3,20161022,7
1381100473,5426737,4,20161002,7
19087787,5426737,3,20160922,7
5338768,5426737,5,20160708,7
93474978,8473068,1,20161002,8
5334886,6588597,1,20170620,7
52268437,6588597,4,20161203,7
13002777,6588597,4,20141231,7
5060488,6588597,3,20140729,7
264031,6588597,5,20140306,7
81946264,882154,5,20140621,7
470344,882154,4,20140515,7
19660124,882154,4,20140513,7
49128303,882154,4,20140416,7
50863275,882154,5,20140410,7
948620,882154,4,20140408,7
41900929,882154,4,20140322,7
59380787,882154,4,20140322,7
63390766,882154,3,20140304,7
19731650,882154,2,20140216,7
71797120,882154,3,20140125,7
19191398,882154,3,20131228,7
34371327,882154,2,20131227,7
93814475,5438904,3,20170901,3
74267586,5438904,4,20170701,3
82717439,5438904,4,20170618,3
48433086,5438904,3,20170504,3
91727393,5438904,5,20170327,3
55412083,5438904,3,20161126,3
60049768,5438904,3,20161025,3
5486156,5438904,4,20160520,3
62525698,5438904,3,20160514,3
34865671,5438904,1,20160414,3
90460320,5438904,5,20160414,3
72954917,5438904,4,20160328,3
5575708,5438904,4,20160326,3
46758152,5438904,5,20160322,3
266064,5438904,3,20160317,3
85078690,10007,3,20170529,10
90401345,10007,3,20170807,10
31157787,10007,4,20170320,10
55947115,10007,4,20161018,10
31870162,10007,5,20161008,10
320111,10007,4,20160930,10
19441100,10007,4,20160808,10
77769807,10007,5,20160720,10
66058329,10007,5,20160526,10
84439111,10007,5,20160524,10
90460320,10007,5,20160401,10
90520219,10007,5,20160327,10
80048035,10007,5,20160317,10
17470407,10007,4,20151027,10
50127877,10007,3,20151120,10
10403306,7900619,5,20140526,8
42722877,7900619,5,20140522,8
82696130,7900619,3,20140427,8
47994669,7900619,3,20140424,8
82852360,7900619,3,20140418,8
51896978,7900619,4,20140417,8
82030363,7900619,5,20140415,8
69612300,7900619,5,20140415,8
30117631,7900619,5,20140414,8
75892404,7900619,5,20140406,8
64478730,7900619,3,20140328,8
51320133,7900619,4,20140324,8
66807807,7900619,5,20140318,8
176386,7900619,5,20140316,8
17217882,7900619,5,20140225,8
1087033,9033765,4,20160824,8
68397948,9033765,3,20160817,8
10569898,9033765,1,20160730,8
33122061,9033765,5,20160701,8
55066214,9033765,3,20160610,8
35996631,9033765,5,20160512,8
5131876,9033765,5,20160413,8
49232376,9033765,5,20160407,8
48242209,9033765,4,20160319,8
39942441,882154,5,20141224,8
2131530,882154,5,20141209,8
42768183,882154,3,20141105,8
19302912,882154,4,20140926,8
51990330,882154,4,20140926,8
158081,882154,3,20140920,8
59904862,882154,5,20140917,8
5384605,882154,4,20140908,8
71196672,882154,3,20140902,8
17229738,882154,3,20140828,8
17245887,882154,3,20140815,8
86718933,882154,1,20140808,8
17374199,882154,5,20140728,8
10240389,882154,3,20140726,8
17658201,882154,5,20140717,8
67535465,7900619,3,20140901,8
