61182758,5426737,5,20170815,08,13795
59775813,5426737,4,20170425,04,13795
69929795,5426737,4,20170221,02,13795
5028582,5426737,3,20170901,09,13795
51650674,5426737,4,20170804,08,13795
85982192,5426737,5,20170615,06,13795
87149719,5426737,5,20170605,06,13795
86658600,5426737,5,20170201,02,13795
67025169,5426737,5,20170124,01,13795
91548578,5426737,4,20170118,01,13795
37972963,5426737,5,20161110,11,13795
45969171,5426737,3,20161022,10,13795
1381100473,5426737,4,20161002,10,13795
19087787,5426737,3,20160922,09,13795
5338768,5426737,5,20160708,07,13795
93474978,8473068,1,20161002,10,11954
5334886,6588597,1,20170620,06,13172
52268437,6588597,4,20161203,12,13172
13002777,6588597,4,20141231,12,13172
5060488,6588597,3,20140729,07,13172
264031,6588597,5,20140306,03,13172
81946264,882154,5,20140621,06,12059
470344,882154,4,20140515,05,12059
19660124,882154,4,20140513,05,12059
49128303,882154,4,20140416,04,12059
50863275,882154,5,20140410,04,12059
948620,882154,4,20140408,04,12059
41900929,882154,4,20140322,03,12059
59380787,882154,4,20140322,03,12059
63390766,882154,3,20140304,03,12059
19731650,882154,2,20140216,02,12059
71797120,882154,3,20140125,01,12059
19191398,882154,3,20131228,12,12059
34371327,882154,2,20131227,12,12059
93814475,5438904,3,20170901,09,10039
74267586,5438904,4,20170701,07,10039
82717439,5438904,4,20170618,06,10039
48433086,5438904,3,20170504,05,10039
91727393,5438904,5,20170327,03,10039
55412083,5438904,3,20161126,11,10039
60049768,5438904,3,20161025,10,10039
5486156,5438904,4,20160520,05,10039
62525698,5438904,3,20160514,05,10039
34865671,5438904,1,20160414,04,10039
90460320,5438904,5,20160414,04,10039
72954917,5438904,4,20160328,03,10039
5575708,5438904,4,20160326,03,10039
46758152,5438904,5,20160322,03,10039
266064,5438904,3,20160317,03,10039
85078690,10007,3,20170529,05,15808
90401345,10007,3,20170807,08,15808
31157787,10007,4,20170320,03,15808
55947115,10007,4,20161018,10,15808
31870162,10007,5,20161008,10,15808
320111,10007,4,20160930,09,15808
