@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE commentCount NUMERIC
@ATTRIBUTE greatComment NUMERIC
@ATTRIBUTE goodComment NUMERIC
@ATTRIBUTE badComment NUMERIC

@DATA
61182758,5426737,5,20170815103743,55,51,4,0
59775813,5426737,4,20170425142249,55,51,4,0
69929795,5426737,4,20170221122228,55,51,4,0
5028582,5426737,3,20170901171000,55,51,4,0
51650674,5426737,4,20170804142023,55,51,4,0
85982192,5426737,5,20170615140437,55,51,4,0
87149719,5426737,5,20170605134904,55,51,4,0
86658600,5426737,5,20170201093933,55,51,4,0
67025169,5426737,5,20170124124000,55,51,4,0
91548578,5426737,4,20170118200504,55,51,4,0
37972963,5426737,5,20161110083958,55,51,4,0
45969171,5426737,3,20161022225558,55,51,4,0
1381100473,5426737,4,20161002100420,55,51,4,0
19087787,5426737,3,20160922150635,55,51,4,0
5338768,5426737,5,20160708004346,55,51,4,0
93474978,8473068,1,20161002170314,1,0,0,0
5334886,6588597,1,20170620092655,5,1,1,0
52268437,6588597,4,20161203101902,5,1,1,0
13002777,6588597,4,20141231163740,5,1,1,0
5060488,6588597,3,20140729180656,5,1,1,0
264031,6588597,5,20140306132354,5,1,1,0
81946264,882154,5,20140621123805,88,48,32,7
470344,882154,4,20140515210943,88,48,32,7
19660124,882154,4,20140513134356,88,48,32,7
49128303,882154,4,20140416232900,88,48,32,7
50863275,882154,5,20140410125136,88,48,32,7
948620,882154,4,20140408104218,88,48,32,7
41900929,882154,4,20140322214751,88,48,32,7
59380787,882154,4,20140322204050,88,48,32,7
63390766,882154,3,20140304131532,88,48,32,7
19731650,882154,2,20140216120826,88,48,32,7
71797120,882154,3,20140125202604,88,48,32,7
19191398,882154,3,20131228141839,88,48,32,7
34371327,882154,2,20131227121247,88,48,32,7
93814475,5438904,3,20170901145950,131,73,47,11
74267586,5438904,4,20170701102404,131,73,47,11
82717439,5438904,4,20170618204835,131,73,47,11
48433086,5438904,3,20170504165720,131,73,47,11
91727393,5438904,5,20170327220731,131,73,47,11
55412083,5438904,3,20161126204950,131,73,47,11
60049768,5438904,3,20161025155311,131,73,47,11
5486156,5438904,4,20160520142444,131,73,47,11
62525698,5438904,3,20160514072838,131,73,47,11
34865671,5438904,1,20160414145418,131,73,47,11
90460320,5438904,5,20160414135607,131,73,47,11
72954917,5438904,4,20160328213516,131,73,47,11
5575708,5438904,4,20160326203626,131,73,47,11
46758152,5438904,5,20160322134852,131,73,47,11
266064,5438904,3,20160317181757,131,73,47,11
85078690,10007,3,20170529111421,60,53,6,1
90401345,10007,3,20170807085923,60,53,6,1
31157787,10007,4,20170320140631,60,53,6,1
55947115,10007,4,20161018170606,60,53,6,1
31870162,10007,5,20161008222459,60,53,6,1
320111,10007,4,20160930154904,60,53,6,1
19441100,10007,4,20160808140023,60,53,6,1
77769807,10007,5,20160720063454,60,53,6,1
66058329,10007,5,20160526180017,60,53,6,1
84439111,10007,5,20160524104221,60,53,6,1
90460320,10007,5,20160401110016,60,53,6,1
90520219,10007,5,20160327112619,60,53,6,1
80048035,10007,5,20160317190930,60,53,6,1
17470407,10007,4,20151027155606,60,53,6,1
50127877,10007,3,20151120063849,60,53,6,1
10403306,7900619,5,20140526000930,152,113,32,7
42722877,7900619,5,20140522151230,152,113,32,7
82696130,7900619,3,20140427015320,152,113,32,7
47994669,7900619,3,20140424203902,152,113,32,7
82852360,7900619,3,20140418141546,152,113,32,7
51896978,7900619,4,20140417132911,152,113,32,7
82030363,7900619,5,20140415155910,152,113,32,7
69612300,7900619,5,20140415111210,152,113,32,7
30117631,7900619,5,20140414230120,152,113,32,7
75892404,7900619,5,20140406111355,152,113,32,7
64478730,7900619,3,20140328141740,152,113,32,7
51320133,7900619,4,20140324193628,152,113,32,7
66807807,7900619,5,20140318153603,152,113,32,7
176386,7900619,5,20140316110952,152,113,32,7
17217882,7900619,5,20140225194046,152,113,32,7
1087033,9033765,4,20160824105853,24,14,3,8
68397948,9033765,3,20160817180855,24,14,3,8
10569898,9033765,1,20160730171906,24,14,3,8
33122061,9033765,5,20160701113959,24,14,3,8
55066214,9033765,3,20160610135717,24,14,3,8
35996631,9033765,5,20160512162414,24,14,3,8
5131876,9033765,5,20160413205020,24,14,3,8
49232376,9033765,5,20160407220547,24,14,3,8
48242209,9033765,4,20160319151107,24,14,3,8
39942441,882154,5,20141224104540,88,48,32,7
2131530,882154,5,20141209104946,88,48,32,7
42768183,882154,3,20141105103611,88,48,32,7
19302912,882154,4,20140926171702,88,48,32,7
51990330,882154,4,20140926113738,88,48,32,7
158081,882154,3,20140920112025,88,48,32,7
59904862,882154,5,20140917113858,88,48,32,7
5384605,882154,4,20140908011531,88,48,32,7
71196672,882154,3,20140902133416,88,48,32,7
17229738,882154,3,20140828090645,88,48,32,7
17245887,882154,3,20140815144326,88,48,32,7
86718933,882154,1,20140808163541,88,48,32,7
